product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6.8,1656.5005,5.8,5.8741,0.4482,0.6694,289,282,97.58,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.3,6.8,1495.0013,5.5,5.3971,0.4266,0.6532,289,277,95.85,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.8,1383.6005,5.8,5.4688,1.1958,1.0935,289,253,87.54,2.01515E+12,6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.9,6.7,276,5.8,4.6,2.124,1.4574,289,60,20.76,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.9,6.8,1108.7001,5.9,5.1808,1.8333,1.354,289,214,74.05,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.9,6.3,522.1999,5.4,3.2235,2.0099,1.4177,289,162,56.06,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.9,6.8,779.1997,5.9,4.4526,2.7047,1.6446,289,175,60.55,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,6.9,779.2997,6.2,4.2585,3.1973,1.7881,289,183,63.32,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,4.7,6.8,1641.0001,2.1,5.7378,0.2338,0.4835,289,286,98.96,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,6.8,1353.1998,6.5,4.8329,1.3921,1.1799,289,280,96.89,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.2,5.8,1264.3002,4.6,4.4675,0.7154,0.8458,289,283,97.92,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.8,5.8,1066.0996,5,4.2138,0.9986,0.9993,289,253,87.54,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.2,6.8,875.4003,5.6,4.1885,3.8451,1.9609,289,209,72.32,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002241,29/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,6.8,1027.5997,6.2,4.4678,2.7635,1.6624,289,230,79.58,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,4.5,6.8,1567.1998,2.3,5.4797,0.2776,0.5268,289,286,98.96,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.1,6.4,1435.7994,5.3,5.0735,0.5625,0.75,289,283,97.92,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,1,6.1,1379.5,5.1,4.8234,0.421,0.6488,289,286,98.96,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.5,6.8,1467.4004,5.3,5.1488,0.3687,0.6072,289,285,98.62,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,1,5.3,1344.8004,4.3,4.7021,0.3773,0.6142,289,286,98.96,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.1,5.8,938.2996,4.7,3.7234,1.1428,1.069,289,252,87.2,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,4.2,6.8,1498.4004,2.6,5.2392,0.3646,0.6038,289,286,98.96,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.5,6.6,1219.7003,5.1,4.2647,0.8982,0.9477,289,286,98.96,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,1.1,4.7,1022.9007,3.6,3.5766,0.8642,0.9296,289,286,98.96,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,1.5,4.7,1009.1004,3.2,3.5283,0.9414,0.9703,289,286,98.96,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,4.3,238.2,4,1.2406,0.4036,0.6353,289,192,66.44,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.5,4.1,367.3999,3.6,1.3216,0.2971,0.5451,289,278,96.19,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.8,2.8,437.1997,2,1.5287,0.0889,0.2982,289,286,98.96,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.6,1.8,327.4002,1.2,1.1448,0.0436,0.2088,289,286,98.96,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.3,2,201.5999,1.7,0.9509,0.1633,0.404,289,212,73.36,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.6,1.9,326.4001,1.3,1.1413,0.0501,0.2239,289,286,98.96,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,0.9,29.8,0.6,0.4656,0.0251,0.1583,289,64,22.15,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.3,1.4,256.1997,1.1,0.8958,0.0313,0.1769,289,286,98.96,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.3,1.3,217.2999,1,0.7598,0.0328,0.181,289,286,98.96,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.2,4.2,74.3,4,0.6041,0.164,0.4049,289,123,42.56,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.7,53.6,0.6,0.3526,0.015,0.1224,289,152,52.6,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.2,0.7,25,0.5,0.3125,0.0166,0.1288,289,80,27.68,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.2,1.3,163.3,1.1,0.6776,0.0339,0.1842,289,241,83.39,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.2,4.6,162.2999,4.4,0.7181,0.1245,0.3528,289,226,78.2,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,1.1,136.2,1,0.5948,0.0275,0.1658,289,229,79.24,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.2,0.5,6.9,0.3,0.4312,0.0096,0.0982,289,16,5.54,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.2,1.3,82.9,1.1,0.5717,0.0455,0.2133,289,145,50.17,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,1.1,106.4,1,0.6011,0.0466,0.2158,289,177,61.25,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,0.5,36.5,0.4,0.3174,0.0084,0.0916,289,115,39.79,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,4.4,84.2,4.3,0.4953,0.1421,0.377,289,170,58.82,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.9,102.3,0.8,0.4316,0.0269,0.164,289,237,82.01,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.1,1.4,87.4998,1.3,0.3147,0.0729,0.27,289,278,96.19,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,4.3,147.2,4.2,0.5984,0.2078,0.4559,289,246,85.12,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.2,1.2,93.8001,1,0.4644,0.0296,0.1721,289,202,69.9,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.2,1.6,78.3,1.4,0.54,0.0647,0.2545,289,145,50.17,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.1,1,19.9,0.9,0.4234,0.0452,0.2126,289,47,16.26,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.3,2.3,106.2999,2,0.6404,0.0888,0.298,289,166,57.44,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.2,0.9,40.6,0.7,0.4721,0.0176,0.1326,289,86,29.76,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003045,14/02/2003,0.2,0.7,5,0.5,0.4545,0.0207,0.1437,289,11,3.81,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.3,0.9,38.9,0.6,0.5403,0.0152,0.1232,289,72,24.91,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.2,1.1,59.7,0.9,0.533,0.0272,0.165,289,112,38.75,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.3,0.9,54.1,0.6,0.6598,0.0261,0.1614,289,82,28.37,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.2,1,67.7,0.8,0.4701,0.0261,0.1616,289,144,49.83,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.3,0.8,27,0.5,0.6,0.0142,0.1193,289,45,15.57,2.01516E+12,F
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.2,0.4,3.4,0.2,0.3091,0.0045,0.0668,289,11,3.81,2.01516E+12,F
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.3,0.9,70.1,0.6,0.5653,0.0236,0.1535,289,124,42.91,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.2,1.1,125.7,0.9,0.5194,0.0237,0.154,289,242,83.74,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.5,1.8,257.9998,1.3,0.9181,0.0262,0.1618,289,281,97.23,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.3,1.8,321.2,1.5,1.1231,0.0422,0.2054,289,286,98.96,2.01516E+12,1.4
MCD15A3H,Lai_500m,A2003089,30/03/2003,0.2,1.4,134.1,1.2,0.7619,0.0496,0.2228,289,176,60.9,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.3,0.7,147.2,0.4,0.5183,0.0043,0.0657,289,284,98.27,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.6,1,50.6,0.4,0.6658,0.0096,0.0981,289,76,26.3,2.01516E+12,F
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.8,2,362.6002,1.2,1.2678,0.0497,0.223,289,286,98.96,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003105,15/04/2003,0.5,1.7,342.7001,1.2,1.1983,0.0346,0.1861,289,286,98.96,2.01516E+12,1.6
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.7,1.7,358.7,1,1.2542,0.0291,0.1707,289,286,98.96,2.01516E+12,1.4
MCD15A3H,Lai_500m,A2003113,23/04/2003,0.7,1.6,299.8999,0.9,1.0486,0.0385,0.1962,289,286,98.96,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.7,2.4,404.8999,1.7,1.4157,0.0666,0.258,289,286,98.96,2.01516E+12,2
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.8,1.7,361.6999,0.9,1.2647,0.0212,0.1457,289,286,98.96,2.01516E+12,1.4
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.3,1.3,207.0999,1,0.7699,0.0579,0.2407,289,269,93.08,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.5,1.4,272.6,0.9,1.0134,0.0368,0.192,289,269,93.08,2.01516E+12,1.4
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.4,0.5,1.8,0.1,0.45,0.0025,0.05,289,4,1.38,2.01516E+12,F
MCD15A3H,Lai_500m,A2003137,17/05/2003,1.4,4.7,707.0998,3.3,2.4724,0.4003,0.6327,289,286,98.96,2.01516E+12,2.4
MCD15A3H,Lai_500m,A2003141,21/05/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.5,0.8,3.2,0.3,0.64,0.0104,0.102,289,5,1.73,2.01516E+12,F
MCD15A3H,Lai_500m,A2003149,29/05/2003,1,6.8,94.8,5.8,4.3091,2.7899,1.6703,289,22,7.61,2.01516E+12,F
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.9,6.8,731.0008,5.9,2.8555,2.5865,1.6082,289,256,88.58,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003157,06/06/2003,3.1,6.7,1278.0011,3.6,4.6985,0.5604,0.7486,289,272,94.12,2.01516E+12,6.3
MCD15A3H,Lai_500m,A2003161,10/06/2003,1.7,6.5,1093.0002,4.8,4.4979,0.8382,0.9155,289,243,84.08,2.01516E+12,3.9
MCD15A3H,Lai_500m,A2003165,14/06/2003,0.8,6.8,1028.4995,6,4.8286,1.2006,1.0957,289,213,73.7,2.01516E+12,5
MCD15A3H,Lai_500m,A2003169,18/06/2003,1.7,1.7,1.7,0,1.7,0,0,289,1,0.35,2.01516E+12,F
MCD15A3H,Lai_500m,A2003173,22/06/2003,3.9,6.8,1488.3008,2.9,5.6805,0.3471,0.5892,289,262,90.66,2.01516E+12,5.4
MCD15A3H,Lai_500m,A2003177,26/06/2003,1.4,6.8,811.3997,5.4,4.9176,1.6801,1.2962,289,165,57.09,2.01516E+12,F
MCD15A3H,Lai_500m,A2003181,30/06/2003,0.9,6.7,384.4001,5.8,3.5593,3.3128,1.8201,289,108,37.37,2.01516E+12,1.6
MCD15A3H,Lai_500m,A2003185,04/07/2003,1,6.8,1021.7,5.8,4.8652,1.7234,1.3128,289,210,72.66,2.01516E+12,5.8
MCD15A3H,Lai_500m,A2003189,08/07/2003,1.8,6.8,87.5,5,4.6053,2.4658,1.5703,289,19,6.57,2.01516E+12,F
MCD15A3H,Lai_500m,A2003193,12/07/2003,0.6,6.6,429.2002,6,3.9018,3.6918,1.9214,289,110,38.06,2.01508E+12,F
MCD15A3H,Lai_500m,A2003197,16/07/2003,2.1,6.8,1134.8998,4.7,5.0665,0.6173,0.7857,289,224,77.51,2.01508E+12,4.9
MCD15A3H,Lai_500m,A2003201,20/07/2003,1.3,6.8,440.0999,5.5,4.1131,2.4217,1.5562,289,107,37.02,2.01508E+12,F
MCD15A3H,Lai_500m,A2003205,24/07/2003,0.5,6.8,855.1998,6.3,3.5782,3.4409,1.855,289,239,82.7,2.01508E+12,4.7
MCD15A3H,Lai_500m,A2003209,28/07/2003,0.7,6.8,1169.8998,6.1,5.1996,2.3595,1.5361,289,225,77.85,2.01508E+12,6
MCD15A3H,Lai_500m,A2003213,01/08/2003,0.9,2,17.5,1.1,1.25,0.1482,0.385,289,14,4.84,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003217,05/08/2003,0.9,6.8,196.4,5.9,4.2696,3.8639,1.9657,289,46,15.92,2.01508E+12,F
MCD15A3H,Lai_500m,A2003221,09/08/2003,0.3,6.8,44.4,6.5,2.0182,5.6124,2.3691,289,22,7.61,2.01508E+12,F
MCD15A3H,Lai_500m,A2003225,13/08/2003,4.4,6.6,1432.7006,2.2,5.0094,0.1303,0.361,289,286,98.96,2.01508E+12,4.7
MCD15A3H,Lai_500m,A2003229,17/08/2003,1,6.8,1571.7002,5.8,5.6132,0.5106,0.7145,289,280,96.89,2.01508E+12,5.6
MCD15A3H,Lai_500m,A2003233,21/08/2003,2.4,6.9,1319.2004,4.5,4.6126,0.2031,0.4506,289,286,98.96,2.01508E+12,4.5
MCD15A3H,Lai_500m,A2003237,25/08/2003,1.8,6.8,1561.7004,5,5.4605,0.6953,0.8339,289,286,98.96,2.01508E+12,5.3
MCD15A3H,Lai_500m,A2003241,29/08/2003,1,6.8,964.2002,5.8,3.5319,2.9515,1.718,289,273,94.46,2.01508E+12,5.3
MCD15A3H,Lai_500m,A2003245,02/09/2003,0.8,6.3,367.8002,5.5,2.919,2.4123,1.5532,289,126,43.6,2.01508E+12,F
MCD15A3H,Lai_500m,A2003249,06/09/2003,1.3,6.8,1492.999,5.5,5.2203,0.4229,0.6503,289,286,98.96,2.01508E+12,5.3
MCD15A3H,Lai_500m,A2003253,10/09/2003,4.2,6.8,1495.7994,2.6,5.2301,0.2429,0.4928,289,286,98.96,2.01508E+12,5.3
MCD15A3H,Lai_500m,A2003257,14/09/2003,2.4,6.4,1427.0005,4,4.9895,0.1874,0.4329,289,286,98.96,2.01508E+12,4.7
MCD15A3H,Lai_500m,A2003261,18/09/2003,1.2,6.3,1261.7999,5.1,4.443,1.4414,1.2006,289,284,98.27,2.01508E+12,5
MCD15A3H,Lai_500m,A2003265,22/09/2003,1.6,5.7,1328.4988,4.1,4.6451,0.1356,0.3682,289,286,98.96,2.01508E+12,4.5
MCD15A3H,Lai_500m,A2003269,26/09/2003,0.7,4.2,9.8,3.5,2.45,3.0625,1.75,289,4,1.38,2.01508E+12,F
MCD15A3H,Lai_500m,A2003273,30/09/2003,2.2,6,1355.5996,3.8,4.7399,0.2199,0.469,289,286,98.96,2.01508E+12,4.5
MCD15A3H,Lai_500m,A2003277,04/10/2003,1.3,5.9,1208.5007,4.6,4.2255,0.663,0.8143,289,286,98.96,2.01508E+12,4.1
MCD15A3H,Lai_500m,A2003281,08/10/2003,1.8,5,1218.2009,3.2,4.2594,0.3607,0.6006,289,286,98.96,2.01508E+12,4.5
MCD15A3H,Lai_500m,A2003285,12/10/2003,0.7,3.8,565.8996,3.1,1.9787,0.1097,0.3311,289,286,98.96,2.01508E+12,1.9
MCD15A3H,Lai_500m,A2003289,16/10/2003,0.2,1.3,194.4,1.1,0.9391,0.0817,0.2858,289,207,71.63,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003293,20/10/2003,0.5,1.8,323.3999,1.3,1.1308,0.0643,0.2536,289,286,98.96,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003297,24/10/2003,0.5,1.4,265.1998,0.9,0.9273,0.0321,0.1792,289,286,98.96,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003301,28/10/2003,0.5,1.4,273.4998,0.9,0.9563,0.0184,0.1357,289,286,98.96,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003305,01/11/2003,0.3,1.1,202.5997,0.8,0.7084,0.0163,0.1276,289,286,98.96,2.0151E+12,0.7
MCD15A3H,Lai_500m,A2003309,05/11/2003,0.3,1.3,231.5997,1,0.8098,0.0283,0.1682,289,286,98.96,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003313,09/11/2003,0.3,1.2,221.5998,0.9,0.7748,0.0216,0.147,289,286,98.96,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003317,13/11/2003,0.3,1.5,227.1997,1.2,0.7944,0.03,0.1733,289,286,98.96,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003321,17/11/2003,0.3,0.4,24.8,0.1,0.3444,0.0025,0.0497,289,72,24.91,2.01508E+12,F
MCD15A3H,Lai_500m,A2003325,21/11/2003,0.3,1.5,244.4997,1.2,0.8549,0.0325,0.1802,289,286,98.96,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003329,25/11/2003,0.3,1.1,206.9998,0.8,0.7238,0.0194,0.1392,289,286,98.96,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003333,29/11/2003,0.1,1.4,182.9999,1.3,0.6399,0.0534,0.2312,289,286,98.96,2.01508E+12,0.3
MCD15A3H,Lai_500m,A2003337,03/12/2003,0.3,1.1,192.6998,0.8,0.6785,0.0263,0.1623,289,284,98.27,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003341,07/12/2003,0.2,1,120.0001,0.8,0.4918,0.0285,0.1687,289,244,84.43,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003345,11/12/2003,0.3,0.9,192.7999,0.6,0.6765,0.0153,0.1236,289,285,98.62,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003349,15/12/2003,0.1,1,91.0001,0.9,0.3745,0.0189,0.1376,289,243,84.08,2.01508E+12,0.5
MCD15A3H,Lai_500m,A2003357,23/12/2003,0.2,1.2,194.8998,1,0.6815,0.032,0.1789,289,286,98.96,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003361,27/12/2003,0.3,1.1,211.9998,0.8,0.7413,0.0198,0.1406,289,286,98.96,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003365,31/12/2003,0.3,1.1,207.5998,0.8,0.7259,0.0215,0.1466,289,286,98.96,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2004001,01/01/2004,0.1,0.6,14.5,0.5,0.29,0.0173,0.1315,289,50,17.3,2.01508E+12,F
MCD15A3H,Lai_500m,A2004005,05/01/2004,0.3,0.9,146.8,0.6,0.5187,0.0077,0.0876,289,283,97.92,2.01509E+12,0.5
MCD15A3H,Lai_500m,A2004009,09/01/2004,0.3,0.9,153.9,0.6,0.5576,0.0179,0.1337,289,276,95.5,2.01509E+12,0.7
MCD15A3H,Lai_500m,A2004013,13/01/2004,0.3,0.9,91.1,0.6,0.5623,0.0233,0.1528,289,162,56.06,2.01509E+12,0.8
MCD15A3H,Lai_500m,A2004017,17/01/2004,0.1,1.9,116,1.8,0.4833,0.0757,0.2752,289,240,83.04,2.01509E+12,0.6
MCD15A3H,Lai_500m,A2004021,21/01/2004,0.1,1.1,127.9999,1,0.512,0.0225,0.15,289,250,86.51,2.01509E+12,0.5
MCD15A3H,Lai_500m,A2004025,25/01/2004,0.3,0.9,115.3001,0.6,0.4452,0.0156,0.1249,289,259,89.62,2.01509E+12,0.6
MCD15A3H,Lai_500m,A2004029,29/01/2004,0.2,1.4,85.8,1.2,0.5465,0.0564,0.2374,289,157,54.33,2.01509E+12,0.7
MCD15A3H,Lai_500m,A2004033,02/02/2004,0.1,1.1,65.6,1,0.4859,0.05,0.2235,289,135,46.71,2.01509E+12,0.7
MCD15A3H,Lai_500m,A2004037,06/02/2004,0.3,0.9,52,0.6,0.5591,0.0108,0.1039,289,93,32.18,2.01509E+12,0.5
MCD15A3H,Lai_500m,A2004041,10/02/2004,0.1,2,100.0002,1.9,0.3831,0.0394,0.1985,289,261,90.31,2.01509E+12,0.7
MCD15A3H,Lai_500m,A2004045,14/02/2004,0.3,0.9,100.7001,0.6,0.4773,0.019,0.1379,289,211,73.01,2.01509E+12,0.6
MCD15A3H,Lai_500m,A2004049,18/02/2004,0.1,0.5,56.2,0.4,0.3876,0.0136,0.1168,289,145,50.17,2.01509E+12,0.4
MCD15A3H,Lai_500m,A2004053,22/02/2004,0.2,0.9,72.6,0.7,0.5459,0.0115,0.1073,289,133,46.02,2.01509E+12,0.7
MCD15A3H,Lai_500m,A2004057,26/02/2004,0.3,1.3,130.7,1,0.5401,0.0217,0.1474,289,242,83.74,2.01509E+12,0.9
MCD15A3H,Lai_500m,A2004061,01/03/2004,0.1,1,99.3,0.9,0.4797,0.0172,0.131,289,207,71.63,2.01509E+12,0.6
MCD15A3H,Lai_500m,A2004065,05/03/2004,0.2,1.5,253.6,1.3,0.8867,0.0537,0.2317,289,286,98.96,2.01509E+12,1.3
MCD15A3H,Lai_500m,A2004069,09/03/2004,0.3,1.4,224.5998,1.1,0.8843,0.0198,0.1405,289,254,87.89,2.01509E+12,0.9
MCD15A3H,Lai_500m,A2004073,13/03/2004,0.3,1.7,230.9999,1.4,0.8493,0.0746,0.2731,289,272,94.12,2.01509E+12,1.4
MCD15A3H,Lai_500m,A2004077,17/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004081,21/03/2004,0.2,1.6,195.4999,1.4,0.7187,0.082,0.2863,289,272,94.12,2.01509E+12,0.9
MCD15A3H,Lai_500m,A2004085,25/03/2004,0.4,1.4,256.6998,1,0.8976,0.031,0.1761,289,286,98.96,2.01509E+12,1.2
MCD15A3H,Lai_500m,A2004089,29/03/2004,0.7,1.6,323.2,0.9,1.1301,0.0254,0.1593,289,286,98.96,2.01509E+12,1.4
MCD15A3H,Lai_500m,A2004093,02/04/2004,0.3,1.3,158.6,1,0.944,0.0451,0.2123,289,168,58.13,2.01509E+12,1.2
MCD15A3H,Lai_500m,A2004097,06/04/2004,0.5,1.5,290.8,1,1.0168,0.0236,0.1537,289,286,98.96,2.01509E+12,1.3
MCD15A3H,Lai_500m,A2004101,10/04/2004,0.4,1.3,258.1999,0.9,0.9028,0.0285,0.1689,289,286,98.96,2.01509E+12,0.9
MCD15A3H,Lai_500m,A2004105,14/04/2004,0.7,1.8,362.3002,1.1,1.2668,0.0369,0.1921,289,286,98.96,2.01509E+12,1.6
MCD15A3H,Lai_500m,A2004109,18/04/2004,0.8,1.7,318.0002,0.9,1.1119,0.0126,0.1122,289,286,98.96,2.01509E+12,1.3
MCD15A3H,Lai_500m,A2004113,22/04/2004,0.7,1.9,380,1.2,1.3287,0.0371,0.1926,289,286,98.96,2.01509E+12,1.7
MCD15A3H,Lai_500m,A2004117,26/04/2004,0.6,2.5,351.4999,1.9,1.229,0.0358,0.1891,289,286,98.96,2.01509E+12,1.4
MCD15A3H,Lai_500m,A2004121,30/04/2004,0.2,0.8,107.3,0.6,0.438,0.0185,0.1361,289,245,84.78,2.01509E+12,0.6
MCD15A3H,Lai_500m,A2004125,04/05/2004,0.7,4.6,413.8003,3.9,1.4469,0.1128,0.3359,289,286,98.96,2.01509E+12,1.7
MCD15A3H,Lai_500m,A2004129,08/05/2004,1.1,6.1,700.1998,5,2.4483,1.2832,1.1328,289,286,98.96,2.01509E+12,1.8
MCD15A3H,Lai_500m,A2004133,12/05/2004,2.7,5.9,1359.7006,3.2,4.7542,0.1135,0.3368,289,286,98.96,2.01509E+12,4.9
MCD15A3H,Lai_500m,A2004137,16/05/2004,1.2,6.8,1219.8997,5.6,4.404,1.7695,1.3302,289,277,95.85,2.01509E+12,5.4
MCD15A3H,Lai_500m,A2004141,20/05/2004,1.5,6.8,1472.3005,5.3,5.1479,0.3346,0.5784,289,286,98.96,2.01509E+12,4.8
MCD15A3H,Lai_500m,A2004145,24/05/2004,1,6.5,572.8998,5.5,4.0631,1.7974,1.3407,289,141,48.79,2.01509E+12,1.6
MCD15A3H,Lai_500m,A2004149,28/05/2004,0.8,6.8,1344.5,6,5.5558,1.0849,1.0416,289,242,83.74,2.01509E+12,6.8
MCD15A3H,Lai_500m,A2004153,01/06/2004,0.7,6.1,253.6,5.4,3.1309,3.0036,1.7331,289,81,28.03,2.01509E+12,F
MCD15A3H,Lai_500m,A2004157,05/06/2004,1.5,6.8,1087.4001,5.3,5.437,1.4288,1.1953,289,200,69.2,2.01509E+12,6.6
MCD15A3H,Lai_500m,A2004161,09/06/2004,1.5,6.8,972.4001,5.3,5.228,1.2624,1.1236,289,186,64.36,2.01509E+12,5.8
MCD15A3H,Lai_500m,A2004165,13/06/2004,1.7,6.9,1143.4999,5.2,5.294,1.3047,1.1422,289,216,74.74,2.01509E+12,6.1
MCD15A3H,Lai_500m,A2004169,17/06/2004,0.9,6.7,636.7001,5.8,4.0814,2.2974,1.5157,289,156,53.98,2.01509E+12,F
MCD15A3H,Lai_500m,A2004173,21/06/2004,2.1,6.8,1285.6996,4.7,5.8708,0.4602,0.6783,289,219,75.78,2.01509E+12,5.8
MCD15A3H,Lai_500m,A2004177,25/06/2004,1,6.3,382.3,5.3,3.2126,1.9134,1.3832,289,119,41.18,2.01509E+12,F
