startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2019-10-28T12:32:00Z","2019-10-28T12:33:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:33:00Z","2019-10-28T12:34:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:34:00Z","2019-10-28T12:35:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:35:00Z","2019-10-28T12:36:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:36:00Z","2019-10-28T12:37:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:37:00Z","2019-10-28T12:38:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:38:00Z","2019-10-28T12:39:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:39:00Z","2019-10-28T12:40:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:40:00Z","2019-10-28T12:41:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:41:00Z","2019-10-28T12:42:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:42:00Z","2019-10-28T12:43:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:43:00Z","2019-10-28T12:44:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:44:00Z","2019-10-28T12:45:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:45:00Z","2019-10-28T12:46:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:46:00Z","2019-10-28T12:47:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:47:00Z","2019-10-28T12:48:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:48:00Z","2019-10-28T12:49:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:49:00Z","2019-10-28T12:50:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:50:00Z","2019-10-28T12:51:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:51:00Z","2019-10-28T12:52:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:52:00Z","2019-10-28T12:53:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:53:00Z","2019-10-28T12:54:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:54:00Z","2019-10-28T12:55:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:55:00Z","2019-10-28T12:56:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:56:00Z","2019-10-28T12:57:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:57:00Z","2019-10-28T12:58:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:58:00Z","2019-10-28T12:59:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T12:59:00Z","2019-10-28T13:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:00:00Z","2019-10-28T13:01:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:01:00Z","2019-10-28T13:02:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:02:00Z","2019-10-28T13:03:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:03:00Z","2019-10-28T13:04:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:04:00Z","2019-10-28T13:05:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:05:00Z","2019-10-28T13:06:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:06:00Z","2019-10-28T13:07:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:07:00Z","2019-10-28T13:08:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:08:00Z","2019-10-28T13:09:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:09:00Z","2019-10-28T13:10:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:10:00Z","2019-10-28T13:11:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:11:00Z","2019-10-28T13:12:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:12:00Z","2019-10-28T13:13:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:13:00Z","2019-10-28T13:14:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:14:00Z","2019-10-28T13:15:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:15:00Z","2019-10-28T13:16:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:16:00Z","2019-10-28T13:17:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:17:00Z","2019-10-28T13:18:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:18:00Z","2019-10-28T13:19:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:19:00Z","2019-10-28T13:20:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:20:00Z","2019-10-28T13:21:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:21:00Z","2019-10-28T13:22:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:22:00Z","2019-10-28T13:23:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:23:00Z","2019-10-28T13:24:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:24:00Z","2019-10-28T13:25:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:25:00Z","2019-10-28T13:26:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:26:00Z","2019-10-28T13:27:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:27:00Z","2019-10-28T13:28:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:28:00Z","2019-10-28T13:29:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:29:00Z","2019-10-28T13:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:30:00Z","2019-10-28T13:31:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:31:00Z","2019-10-28T13:32:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:32:00Z","2019-10-28T13:33:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:33:00Z","2019-10-28T13:34:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:34:00Z","2019-10-28T13:35:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:35:00Z","2019-10-28T13:36:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:36:00Z","2019-10-28T13:37:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:37:00Z","2019-10-28T13:38:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:38:00Z","2019-10-28T13:39:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:39:00Z","2019-10-28T13:40:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:40:00Z","2019-10-28T13:41:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:41:00Z","2019-10-28T13:42:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:42:00Z","2019-10-28T13:43:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:43:00Z","2019-10-28T13:44:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:44:00Z","2019-10-28T13:45:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:45:00Z","2019-10-28T13:46:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:46:00Z","2019-10-28T13:47:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:47:00Z","2019-10-28T13:48:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:48:00Z","2019-10-28T13:49:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:49:00Z","2019-10-28T13:50:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:50:00Z","2019-10-28T13:51:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:51:00Z","2019-10-28T13:52:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:52:00Z","2019-10-28T13:53:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:53:00Z","2019-10-28T13:54:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:54:00Z","2019-10-28T13:55:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:55:00Z","2019-10-28T13:56:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:56:00Z","2019-10-28T13:57:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:57:00Z","2019-10-28T13:58:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:58:00Z","2019-10-28T13:59:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T13:59:00Z","2019-10-28T14:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:00:00Z","2019-10-28T14:01:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:01:00Z","2019-10-28T14:02:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:02:00Z","2019-10-28T14:03:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:03:00Z","2019-10-28T14:04:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:04:00Z","2019-10-28T14:05:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:05:00Z","2019-10-28T14:06:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:06:00Z","2019-10-28T14:07:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:07:00Z","2019-10-28T14:08:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:08:00Z","2019-10-28T14:09:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:09:00Z","2019-10-28T14:10:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:10:00Z","2019-10-28T14:11:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:11:00Z","2019-10-28T14:12:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:12:00Z","2019-10-28T14:13:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:13:00Z","2019-10-28T14:14:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:14:00Z","2019-10-28T14:15:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:15:00Z","2019-10-28T14:16:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:16:00Z","2019-10-28T14:17:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:17:00Z","2019-10-28T14:18:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:18:00Z","2019-10-28T14:19:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:19:00Z","2019-10-28T14:20:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:20:00Z","2019-10-28T14:21:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:21:00Z","2019-10-28T14:22:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:22:00Z","2019-10-28T14:23:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:23:00Z","2019-10-28T14:24:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:24:00Z","2019-10-28T14:25:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:25:00Z","2019-10-28T14:26:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:26:00Z","2019-10-28T14:27:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:27:00Z","2019-10-28T14:28:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:28:00Z","2019-10-28T14:29:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:29:00Z","2019-10-28T14:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:30:00Z","2019-10-28T14:31:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:31:00Z","2019-10-28T14:32:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:32:00Z","2019-10-28T14:33:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:33:00Z","2019-10-28T14:34:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:34:00Z","2019-10-28T14:35:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:35:00Z","2019-10-28T14:36:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:36:00Z","2019-10-28T14:37:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:37:00Z","2019-10-28T14:38:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:38:00Z","2019-10-28T14:39:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:39:00Z","2019-10-28T14:40:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:40:00Z","2019-10-28T14:41:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:41:00Z","2019-10-28T14:42:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:42:00Z","2019-10-28T14:43:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:43:00Z","2019-10-28T14:44:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:44:00Z","2019-10-28T14:45:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:45:00Z","2019-10-28T14:46:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:46:00Z","2019-10-28T14:47:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:47:00Z","2019-10-28T14:48:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:48:00Z","2019-10-28T14:49:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:49:00Z","2019-10-28T14:50:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:50:00Z","2019-10-28T14:51:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:51:00Z","2019-10-28T14:52:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:52:00Z","2019-10-28T14:53:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:53:00Z","2019-10-28T14:54:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:54:00Z","2019-10-28T14:55:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:55:00Z","2019-10-28T14:56:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:56:00Z","2019-10-28T14:57:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:57:00Z","2019-10-28T14:58:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:58:00Z","2019-10-28T14:59:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T14:59:00Z","2019-10-28T15:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:00:00Z","2019-10-28T15:01:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:01:00Z","2019-10-28T15:02:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:02:00Z","2019-10-28T15:03:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:03:00Z","2019-10-28T15:04:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:04:00Z","2019-10-28T15:05:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:05:00Z","2019-10-28T15:06:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:06:00Z","2019-10-28T15:07:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:07:00Z","2019-10-28T15:08:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:08:00Z","2019-10-28T15:09:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:09:00Z","2019-10-28T15:10:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:10:00Z","2019-10-28T15:11:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:11:00Z","2019-10-28T15:12:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:12:00Z","2019-10-28T15:13:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:13:00Z","2019-10-28T15:14:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:14:00Z","2019-10-28T15:15:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:15:00Z","2019-10-28T15:16:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:16:00Z","2019-10-28T15:17:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:17:00Z","2019-10-28T15:18:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:18:00Z","2019-10-28T15:19:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:19:00Z","2019-10-28T15:20:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:20:00Z","2019-10-28T15:21:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:21:00Z","2019-10-28T15:22:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:22:00Z","2019-10-28T15:23:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:23:00Z","2019-10-28T15:24:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:24:00Z","2019-10-28T15:25:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:25:00Z","2019-10-28T15:26:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:26:00Z","2019-10-28T15:27:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:27:00Z","2019-10-28T15:28:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:28:00Z","2019-10-28T15:29:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:29:00Z","2019-10-28T15:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:30:00Z","2019-10-28T15:31:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:31:00Z","2019-10-28T15:32:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:32:00Z","2019-10-28T15:33:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:33:00Z","2019-10-28T15:34:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:34:00Z","2019-10-28T15:35:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:35:00Z","2019-10-28T15:36:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:36:00Z","2019-10-28T15:37:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:37:00Z","2019-10-28T15:38:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:38:00Z","2019-10-28T15:39:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:39:00Z","2019-10-28T15:40:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:40:00Z","2019-10-28T15:41:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:41:00Z","2019-10-28T15:42:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:42:00Z","2019-10-28T15:43:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:43:00Z","2019-10-28T15:44:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:44:00Z","2019-10-28T15:45:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:45:00Z","2019-10-28T15:46:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:46:00Z","2019-10-28T15:47:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:47:00Z","2019-10-28T15:48:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:48:00Z","2019-10-28T15:49:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:49:00Z","2019-10-28T15:50:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:50:00Z","2019-10-28T15:51:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:51:00Z","2019-10-28T15:52:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:52:00Z","2019-10-28T15:53:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:53:00Z","2019-10-28T15:54:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:54:00Z","2019-10-28T15:55:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:55:00Z","2019-10-28T15:56:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:56:00Z","2019-10-28T15:57:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:57:00Z","2019-10-28T15:58:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:58:00Z","2019-10-28T15:59:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T15:59:00Z","2019-10-28T16:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:00:00Z","2019-10-28T16:01:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:01:00Z","2019-10-28T16:02:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:02:00Z","2019-10-28T16:03:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:03:00Z","2019-10-28T16:04:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:04:00Z","2019-10-28T16:05:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:05:00Z","2019-10-28T16:06:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:06:00Z","2019-10-28T16:07:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:07:00Z","2019-10-28T16:08:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:08:00Z","2019-10-28T16:09:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:09:00Z","2019-10-28T16:10:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:10:00Z","2019-10-28T16:11:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:11:00Z","2019-10-28T16:12:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:12:00Z","2019-10-28T16:13:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:13:00Z","2019-10-28T16:14:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:14:00Z","2019-10-28T16:15:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:15:00Z","2019-10-28T16:16:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:16:00Z","2019-10-28T16:17:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:17:00Z","2019-10-28T16:18:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:18:00Z","2019-10-28T16:19:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:19:00Z","2019-10-28T16:20:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:20:00Z","2019-10-28T16:21:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:21:00Z","2019-10-28T16:22:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:22:00Z","2019-10-28T16:23:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:23:00Z","2019-10-28T16:24:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:24:00Z","2019-10-28T16:25:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:25:00Z","2019-10-28T16:26:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:26:00Z","2019-10-28T16:27:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:27:00Z","2019-10-28T16:28:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-10-28T16:28:00Z","2019-10-28T16:29:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
