iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2013 1 0 0 -21.398 -999.0 -999.0 -999.0 0 1.8925005 81.15690325 24.357135 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 1 0 -21.398 -999.0 -999.0 -999.0 0 1.949902 81.05427138499999 24.16224 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 2 0 -21.398 -999.0 -999.0 -999.0 0 1.5701575 81.912072085 23.98752 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 3 0 -21.398 -999.0 -999.0 -999.0 0 1.697314 84.6928487 23.57909 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 4 0 -21.398 -999.0 -999.0 -999.0 0 1.157853 84.507973265 23.5916 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 5 0 -21.398 -999.0 -999.0 -999.0 0 1.4070755 85.24436446 23.63281 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 6 0 -21.398 -999.0 -999.0 -999.0 0 2.0061745 84.293905395 23.83956 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 7 0 -8.82953634 -999.0 -999.0 -999.0 0 2.2734895 86.006587485 23.63652 101 0 15.364870000000002 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 8 0 66.6875529 -999.0 -999.0 -999.0 0 2.2520759999999997 86.44635645 23.99035 101 0 107.68405 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 9 0 108.1845702 -999.0 -999.0 -999.0 0 2.692698 84.55124053 24.516675 101 0 158.4139 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 10 0 228.2165405 -999.0 -999.0 -999.0 0 2.958482 85.008875175 24.571465 101 0 305.15225 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 11 0 437.671371 -999.0 -999.0 -999.0 0 3.621835 76.95544595 26.538800000000002 101 0 561.2095 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 12 0 394.9732025 -999.0 -999.0 -999.0 0 4.296755 75.594247115 27.09393 101 0 509.01125 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 13 0 337.69397949999995 -999.0 -999.0 -999.0 0 2.8959330000000003 78.736137775 26.779115 101 0 438.98775 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 14 0 437.29697239999996 -999.0 -999.0 -999.0 0 4.9849485 71.66400123 27.747635000000002 101 0 560.7518 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 15 0 297.9038419 -999.0 -999.0 -999.0 0 5.4766635 70.75614562999999 27.724645 101 0 390.34455 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 16 0 213.1393281 -999.0 -999.0 -999.0 0 5.195278 73.09927534 27.08662 101 0 286.72045 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 17 0 114.06350757 -999.0 -999.0 -999.0 0 4.485222 71.40858197 27.14029 101 0 165.600865 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 18 0 -11.350811929999999 -999.0 -999.0 -999.0 0 3.4652665000000002 74.90585178 26.15764 101 0 12.282626 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 19 0 -21.398 -999.0 -999.0 -999.0 0 3.3201 78.95674451 25.348465 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 20 0 -21.398 -999.0 -999.0 -999.0 0 1.8971605 82.52065095500001 24.723860000000002 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 21 0 -21.398 -999.0 -999.0 -999.0 0 2.1454500000000003 84.091344385 24.38437 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 22 0 -21.398 -999.0 -999.0 -999.0 0 2.0522415 83.710153335 24.494390000000003 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 23 0 -21.398 -999.0 -999.0 -999.0 0 2.0078864999999997 81.90886233 24.815635 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 0 0 -21.398 -999.0 -999.0 -999.0 0 1.9382555 81.77215135 24.774259999999998 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 1 0 -21.398 -999.0 -999.0 -999.0 0 1.944083 85.071201755 23.89865 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 2 0 -21.398 -999.0 -999.0 -999.0 0 1.1577790000000001 83.42126757 24.035245000000003 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 3 0 -21.398 -999.0 -999.0 -999.0 0 0.853503 82.866589955 24.186214999999997 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 4 0 -21.398 -999.0 -999.0 -999.0 0 1.5548375 84.919502765 23.608555000000003 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 5 0 -21.398 -999.0 -999.0 -999.0 0 1.8803934999999998 86.814725475 23.522985 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 6 0 -21.398 -999.0 -999.0 -999.0 0 1.938715 87.461534075 23.242425 101 0 0.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 7 0 -0.5567591900000011 -999.0 -999.0 -999.0 0 1.9485505 86.97194616 23.51015 101 0 25.478289500000002 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 8 0 143.8843806 -999.0 -999.0 -999.0 0 2.312081 82.108859235 24.97065 101 0 202.05669999999998 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
