startDateTime,endDateTime,buoyWindSpeedMean,buoyWindSpeedMinimum,buoyWindSpeedMaximum,buoyWindSpeedVariance,buoyWindSpeedNumPts,buoyWindSpeedExpUncert,buoyWindSpeedStdErMean,buoyWindSpeedFinalQF,buoyWindDirMean,buoyWindDirVariance,buoyWindDirNumPts,buoyWindDirExpUncert,buoyWindDirStdErMean,buoyWindDirFinalQF
"2018-07-01T00:00:00Z","2018-07-01T00:02:00Z",,,,,,,,,,,,,,
"2018-07-01T00:02:00Z","2018-07-01T00:04:00Z",,,,,,,,,,,,,,
"2018-07-01T00:04:00Z","2018-07-01T00:06:00Z",,,,,,,,,,,,,,
"2018-07-01T00:06:00Z","2018-07-01T00:08:00Z",,,,,,,,,,,,,,
"2018-07-01T00:08:00Z","2018-07-01T00:10:00Z",,,,,,,,,,,,,,
"2018-07-01T00:10:00Z","2018-07-01T00:12:00Z",,,,,,,,,,,,,,
"2018-07-01T00:12:00Z","2018-07-01T00:14:00Z",,,,,,,,,,,,,,
"2018-07-01T00:14:00Z","2018-07-01T00:16:00Z",,,,,,,,,,,,,,
"2018-07-01T00:16:00Z","2018-07-01T00:18:00Z",,,,,,,,,,,,,,
"2018-07-01T00:18:00Z","2018-07-01T00:20:00Z",,,,,,,,,,,,,,
"2018-07-01T00:20:00Z","2018-07-01T00:22:00Z",,,,,,,,,,,,,,
"2018-07-01T00:22:00Z","2018-07-01T00:24:00Z",,,,,,,,,,,,,,
"2018-07-01T00:24:00Z","2018-07-01T00:26:00Z",,,,,,,,,,,,,,
"2018-07-01T00:26:00Z","2018-07-01T00:28:00Z",,,,,,,,,,,,,,
"2018-07-01T00:28:00Z","2018-07-01T00:30:00Z",,,,,,,,,,,,,,
"2018-07-01T00:30:00Z","2018-07-01T00:32:00Z",,,,,,,,,,,,,,
"2018-07-01T00:32:00Z","2018-07-01T00:34:00Z",,,,,,,,,,,,,,
"2018-07-01T00:34:00Z","2018-07-01T00:36:00Z",,,,,,,,,,,,,,
"2018-07-01T00:36:00Z","2018-07-01T00:38:00Z",,,,,,,,,,,,,,
"2018-07-01T00:38:00Z","2018-07-01T00:40:00Z",,,,,,,,,,,,,,
"2018-07-01T00:40:00Z","2018-07-01T00:42:00Z",,,,,,,,,,,,,,
"2018-07-01T00:42:00Z","2018-07-01T00:44:00Z",,,,,,,,,,,,,,
"2018-07-01T00:44:00Z","2018-07-01T00:46:00Z",,,,,,,,,,,,,,
"2018-07-01T00:46:00Z","2018-07-01T00:48:00Z",,,,,,,,,,,,,,
"2018-07-01T00:48:00Z","2018-07-01T00:50:00Z",,,,,,,,,,,,,,
"2018-07-01T00:50:00Z","2018-07-01T00:52:00Z",,,,,,,,,,,,,,
"2018-07-01T00:52:00Z","2018-07-01T00:54:00Z",,,,,,,,,,,,,,
"2018-07-01T00:54:00Z","2018-07-01T00:56:00Z",,,,,,,,,,,,,,
"2018-07-01T00:56:00Z","2018-07-01T00:58:00Z",,,,,,,,,,,,,,
"2018-07-01T00:58:00Z","2018-07-01T01:00:00Z",,,,,,,,,,,,,,
"2018-07-01T01:00:00Z","2018-07-01T01:02:00Z",,,,,,,,,,,,,,
"2018-07-01T01:02:00Z","2018-07-01T01:04:00Z",,,,,,,,,,,,,,
"2018-07-01T01:04:00Z","2018-07-01T01:06:00Z",,,,,,,,,,,,,,
"2018-07-01T01:06:00Z","2018-07-01T01:08:00Z",,,,,,,,,,,,,,
"2018-07-01T01:08:00Z","2018-07-01T01:10:00Z",,,,,,,,,,,,,,
"2018-07-01T01:10:00Z","2018-07-01T01:12:00Z",,,,,,,,,,,,,,
"2018-07-01T01:12:00Z","2018-07-01T01:14:00Z",,,,,,,,,,,,,,
"2018-07-01T01:14:00Z","2018-07-01T01:16:00Z",,,,,,,,,,,,,,
"2018-07-01T01:16:00Z","2018-07-01T01:18:00Z",,,,,,,,,,,,,,
"2018-07-01T01:18:00Z","2018-07-01T01:20:00Z",,,,,,,,,,,,,,
"2018-07-01T01:20:00Z","2018-07-01T01:22:00Z",,,,,,,,,,,,,,
"2018-07-01T01:22:00Z","2018-07-01T01:24:00Z",,,,,,,,,,,,,,
"2018-07-01T01:24:00Z","2018-07-01T01:26:00Z",,,,,,,,,,,,,,
"2018-07-01T01:26:00Z","2018-07-01T01:28:00Z",,,,,,,,,,,,,,
